time,P_import,P_export,P_bat_ch,P_bat_dis,SOC (%)
2024-01-03 09:30:00,0.0,0.0,486.2134,0.0,75.72547767907895
2024-01-03 10:00:00,0.0,0.0,1000.0,0.0,99.47547767907895
2024-01-03 10:30:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 11:00:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 11:30:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 12:00:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 12:30:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 13:00:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 13:30:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 14:00:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 14:30:00,0.0,0.0,1000.0,0.0,100.0
2024-01-03 15:00:00,0.0,0.0,320.2496,0.0,100.0
2024-01-03 15:30:00,0.0,0.0,320.2496,0.0,100.0
2024-01-03 16:00:00,0.0,0.0,91.72899,0.0,100.0
2024-01-03 16:30:00,0.0,0.0,91.72899,0.0,100.0
2024-01-03 17:00:00,0.0,0.0,247.6,0.0,100.0
2024-01-03 17:30:00,0.0,0.0,247.6,0.0,100.0
2024-01-03 18:00:00,0.0,0.0,391.8446,0.0,100.0
2024-01-03 18:30:00,0.0,0.0,391.8446,0.0,100.0
2024-01-03 19:00:00,0.0,0.0,456.506,0.0,100.0
2024-01-03 19:30:00,0.0,0.0,456.506,0.0,100.0
2024-01-03 20:00:00,0.0,0.0,317.0005,0.0,100.0
2024-01-03 20:30:00,0.0,0.0,317.0005,0.0,100.0
2024-01-03 21:00:00,0.0,0.0,333.3242,0.0,100.0
2024-01-03 21:30:00,0.0,0.0,333.3242,0.0,100.0
2024-01-03 22:00:00,0.0,0.0,302.9425,0.0,100.0
2024-01-03 22:30:00,0.0,0.0,302.9425,0.0,100.0
2024-01-03 23:00:00,0.0,0.0,52.00336,0.0,100.0
2024-01-03 23:30:00,0.0,0.0,52.00336,0.0,100.0
2024-01-04 00:00:00,0.0,0.0,0.0,199.2,94.7578947368421
2024-01-04 00:30:00,0.0,0.0,0.0,171.2,90.25263157894737
2024-01-04 01:00:00,0.0,0.0,58.48161,0.0,91.64156981644737
2024-01-04 01:30:00,0.0,0.0,58.48161,0.0,93.03050805394737
2024-01-04 02:00:00,0.0,0.0,73.83284,0.0,94.78403800394737
2024-01-04 02:30:00,0.0,0.0,73.83284,0.0,96.53756795394737
2024-01-04 03:00:00,0.0,0.0,17.09456,0.0,96.94356375394737
2024-01-04 03:30:00,0.0,0.0,17.09456,0.0,97.34955955394737
2024-01-04 04:00:00,0.0,0.0,86.83046,0.0,99.41178297894737
2024-01-04 04:30:00,0.0,0.0,86.83046,0.0,100.0
2024-01-04 05:00:00,0.0,0.0,326.6639,0.0,100.0
2024-01-04 05:30:00,0.0,0.0,326.6639,0.0,100.0
2024-01-04 06:00:00,0.0,0.0,381.8291,0.0,100.0
2024-01-04 06:30:00,0.0,0.0,381.8291,0.0,100.0
2024-01-04 07:00:00,0.0,0.0,395.7706,0.0,100.0
2024-01-04 07:30:00,0.0,0.0,395.7706,0.0,100.0
2024-01-04 08:00:00,27.871291999999812,0.0,496.688708,0.0,100.0
2024-01-04 08:30:00,0.0,0.0,496.688708,0.0,100.0
2024-01-04 09:00:00,0.0,0.0,525.80893,0.0,100.0
2024-01-04 09:30:00,0.0,0.0,525.80893,0.0,100.0
2024-01-04 10:00:00,65.14509999999996,0.0,521.4549,0.0,100.0
2024-01-04 10:30:00,79.14509999999996,0.0,521.4549,0.0,100.0
2024-01-04 11:00:00,108.58664900000008,0.0,502.413351,0.0,100.0
2024-01-04 11:30:00,0.0,0.0,502.413351,0.0,100.0
2024-01-04 12:00:00,18.599489999999946,0.0,519.01051,0.0,100.0
2024-01-04 12:30:00,19.399490000000128,0.0,519.01051,0.0,100.0
2024-01-04 13:00:00,0.0,0.0,539.7683,0.0,100.0
2024-01-04 13:30:00,0.0,0.0,539.7683,0.0,100.0
2024-01-04 14:00:00,0.0,0.0,480.086219,0.0,100.0
2024-01-04 14:30:00,0.0,0.0,480.086219,0.0,100.0
2024-01-04 15:00:00,0.0,0.0,468.502185,0.0,100.0
2024-01-04 15:30:00,0.0,0.0,468.502185,0.0,100.0
2024-01-04 16:00:00,0.0,0.0,416.2603,0.0,100.0
2024-01-04 16:30:00,0.0,0.0,416.2603,0.0,100.0
2024-01-04 17:00:00,0.0,0.0,469.6799,0.0,100.0
2024-01-04 17:30:00,0.0,0.0,469.6799,0.0,100.0
2024-01-04 18:00:00,0.0,0.0,480.3318,0.0,100.0
2024-01-04 18:30:00,0.0,0.0,480.3318,0.0,100.0
2024-01-04 19:00:00,0.0,0.0,263.8918,0.0,100.0
2024-01-04 19:30:00,0.0,0.0,263.8918,0.0,100.0
2024-01-04 20:00:00,0.0,0.0,197.2646,0.0,100.0
2024-01-04 20:30:00,0.0,0.0,197.2646,0.0,100.0
2024-01-04 21:00:00,0.0,0.0,134.2752,0.0,100.0
2024-01-04 21:30:00,0.0,0.0,134.2752,0.0,100.0
2024-01-04 22:00:00,0.0,0.0,80.90804,0.0,100.0
2024-01-04 22:30:00,0.0,0.0,80.90804,0.0,100.0
2024-01-04 23:00:00,0.0,0.0,0.0,265.8,93.00526315789473
2024-01-04 23:30:00,0.0,0.0,0.0,183.8,88.16842105263157
2024-01-05 00:00:00,0.0,0.0,0.0,178.2,83.47894736842105
2024-01-05 00:30:00,0.0,0.0,0.0,201.6,78.1736842105263
2024-01-05 01:00:00,0.0,0.0,0.0,122.8,74.94210526315788
2024-01-05 01:30:00,0.0,0.0,0.0,66.8,73.18421052631578
2024-01-05 02:00:00,0.0,0.0,0.0,105.4,70.41052631578947
2024-01-05 02:30:00,0.0,0.0,0.0,73.8,68.46842105263157
2024-01-05 03:00:00,0.0,0.0,0.0,88.59999,66.13684236842104
2024-01-05 03:30:00,0.0,0.0,0.0,75.39999,64.15263210526315
2024-01-05 04:00:00,0.0,0.0,0.0,140.0,60.468421578947364
2024-01-05 04:30:00,0.0,0.0,0.0,153.8,56.42105315789473
2024-01-05 05:00:00,0.0,0.0,0.0,206.0,51.00000052631579
2024-01-05 05:30:00,0.0,0.0,0.0,546.9999,36.60526631578947
2024-01-05 06:00:00,0.0,0.0,0.0,836.7999,14.584216315789472
2024-01-05 06:30:00,0.0,0.0,0.0,853.2,5.0
2024-01-05 07:00:00,0.0,0.0,0.0,940.2,5.0
2024-01-05 07:30:00,14.799999999999955,0.0,0.0,1000.0,5.0
2024-01-05 08:00:00,59.21540200000004,0.0,3.184598,0.0,5.0756342025
2024-01-05 08:30:00,24.415401999999858,0.0,3.184598,0.0,5.151268405
2024-01-05 09:00:00,0.0,0.0,14.26076,0.0,5.4899614549999995
2024-01-05 09:30:00,42.33924000000002,0.0,14.26076,0.0,5.828654504999999
2024-01-05 10:00:00,71.36763999999994,0.0,60.73236,0.0,7.271048055
2024-01-05 10:30:00,83.96764000000007,0.0,60.73236,0.0,8.713441605
2024-01-05 11:00:00,33.08490000000006,0.0,119.80510000000001,0.0,11.55881273
2024-01-05 11:30:00,0.0,0.0,119.80510000000001,0.0,14.404183855
2024-01-05 12:00:00,0.0,0.0,208.44037,0.0,19.3546426425
